fk_rede,rede,data,nome_dia,volume_total_usd,total_trades
b60d7bdd334cd3768d43f14a05c7fe7e886ba5bcb77e1064530052fed1a3f145,ethereum,2025-06-15,Domingo,1.3103837587043495E22,133455
b60d7bdd334cd3768d43f14a05c7fe7e886ba5bcb77e1064530052fed1a3f145,ethereum,2025-06-13,Sexta-feira,2.212302129681608E20,45828
b60d7bdd334cd3768d43f14a05c7fe7e886ba5bcb77e1064530052fed1a3f145,ethereum,2025-05-30,Sexta-feira,3.0959485452371506E20,39782
b60d7bdd334cd3768d43f14a05c7fe7e886ba5bcb77e1064530052fed1a3f145,ethereum,2025-05-09,Sexta-feira,3.501874784147906E20,128142
b60d7bdd334cd3768d43f14a05c7fe7e886ba5bcb77e1064530052fed1a3f145,ethereum,2025-05-10,Sábado,2.9374590366169498E20,100870
45e5fa95a2f3c91cbdb5b6a50ede8cf68885c12fb67dbc5c715e3a748b7eb5e5,klaytn,2025-06-09,Segunda-feira,16032161.900917795,27172
45e5fa95a2f3c91cbdb5b6a50ede8cf68885c12fb67dbc5c715e3a748b7eb5e5,klaytn,2025-06-15,Domingo,3072070.954322438,8234
45e5fa95a2f3c91cbdb5b6a50ede8cf68885c12fb67dbc5c715e3a748b7eb5e5,klaytn,2025-06-13,Sexta-feira,11937644.803339276,16986
45e5fa95a2f3c91cbdb5b6a50ede8cf68885c12fb67dbc5c715e3a748b7eb5e5,klaytn,2025-05-30,Sexta-feira,1161079.6825992693,3356
bb93cff8851d49accdf69b665b0339e1cf15f56c036ebbea5c9d424f798e247d,avalanche,2025-06-09,Segunda-feira,9.3296240105126515E17,37339
bb93cff8851d49accdf69b665b0339e1cf15f56c036ebbea5c9d424f798e247d,avalanche,2025-06-15,Domingo,1.58727021541274336E17,19136
bb93cff8851d49accdf69b665b0339e1cf15f56c036ebbea5c9d424f798e247d,avalanche,2025-06-13,Sexta-feira,1.4653373117099728E17,36588
bb93cff8851d49accdf69b665b0339e1cf15f56c036ebbea5c9d424f798e247d,avalanche,2025-05-30,Sexta-feira,2.5312708135863232E17,29610
bb93cff8851d49accdf69b665b0339e1cf15f56c036ebbea5c9d424f798e247d,avalanche,2025-05-09,Sexta-feira,2.3529435374276388E18,8504
bb93cff8851d49accdf69b665b0339e1cf15f56c036ebbea5c9d424f798e247d,avalanche,2025-05-10,Sábado,3.3445033041759903E18,9053
50b9984bd9eb2b8837f97266b81ae2f8922a0272c40818dfabffdb6b66066a17,matic,2025-06-11,Quarta-feira,90647763.22598638,24904
50b9984bd9eb2b8837f97266b81ae2f8922a0272c40818dfabffdb6b66066a17,matic,2025-05-15,Quinta-feira,44676849.53634507,3007
50b9984bd9eb2b8837f97266b81ae2f8922a0272c40818dfabffdb6b66066a17,matic,2025-05-16,Sexta-feira,41794789.94735881,2304
50b9984bd9eb2b8837f97266b81ae2f8922a0272c40818dfabffdb6b66066a17,matic,2025-05-11,Domingo,28692011.99781558,2137
50b9984bd9eb2b8837f97266b81ae2f8922a0272c40818dfabffdb6b66066a17,matic,2025-06-14,Sábado,159453321.10421148,172314
50b9984bd9eb2b8837f97266b81ae2f8922a0272c40818dfabffdb6b66066a17,matic,2025-05-28,Quarta-feira,22530222.685412724,696
684603a7e7eae5bac769334a169067ece3d969d108b5a2b3bfa78b0bb3461ef6,fantom,2025-06-11,Quarta-feira,2498223.5530291987,1086
684603a7e7eae5bac769334a169067ece3d969d108b5a2b3bfa78b0bb3461ef6,fantom,2025-05-15,Quinta-feira,594881.2530808391,42
684603a7e7eae5bac769334a169067ece3d969d108b5a2b3bfa78b0bb3461ef6,fantom,2025-05-11,Domingo,29348.523748635755,4
684603a7e7eae5bac769334a169067ece3d969d108b5a2b3bfa78b0bb3461ef6,fantom,2025-06-14,Sábado,28387.48841161114,82
